               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 115,            0.022702,            0.025026,           0.0019743,             0.98204,             0.96596,             0.98046,             0.80554,            0.013871,             0.01917,          0.00097631,           0.0071566,           0.0071566,           0.0071566
                 116,            0.022613,            0.025113,           0.0019482,             0.98164,             0.96651,             0.98048,             0.80578,            0.013847,            0.019136,          0.00097497,           0.0071127,           0.0071127,           0.0071127
                 117,            0.022706,            0.025126,           0.0019591,             0.98264,             0.96567,             0.98053,              0.8064,            0.013822,              0.0191,          0.00097372,           0.0070686,           0.0070686,           0.0070686
                 118,            0.022611,            0.025169,           0.0019501,             0.98153,               0.967,             0.98055,             0.80688,            0.013796,            0.019063,          0.00097238,           0.0070243,           0.0070243,           0.0070243
                 119,            0.022691,            0.025173,           0.0019707,             0.98365,             0.96513,             0.98059,             0.80735,            0.013774,             0.01903,          0.00097106,           0.0069799,           0.0069799,           0.0069799
                 120,            0.022623,            0.025123,           0.0019652,             0.98168,              0.9672,             0.98063,              0.8078,            0.013749,            0.018997,          0.00096979,           0.0069353,           0.0069353,           0.0069353
                 121,            0.022553,            0.025093,           0.0019642,             0.98169,             0.96743,              0.9807,             0.80811,            0.013722,            0.018962,          0.00096826,           0.0068906,           0.0068906,           0.0068906
                 122,            0.022595,            0.025092,           0.0019663,             0.98292,             0.96644,             0.98077,             0.80846,            0.013696,            0.018929,          0.00096673,           0.0068457,           0.0068457,           0.0068457
                 123,            0.022515,            0.025064,           0.0019562,             0.98305,             0.96653,             0.98123,             0.80893,            0.013672,            0.018894,          0.00096522,           0.0068006,           0.0068006,           0.0068006
                 124,            0.022462,               0.025,           0.0019571,             0.98242,             0.96724,              0.9812,             0.80937,            0.013645,            0.018859,          0.00096365,           0.0067555,           0.0067555,           0.0067555
                 125,            0.022338,            0.024919,            0.001937,             0.98262,             0.96724,             0.98136,             0.81008,            0.013621,            0.018826,          0.00096218,           0.0067101,           0.0067101,           0.0067101
                 126,            0.022463,            0.024893,           0.0019483,             0.98247,             0.96756,             0.98141,             0.81033,            0.013601,            0.018798,          0.00096069,           0.0066647,           0.0066647,           0.0066647
                 127,            0.022397,             0.02503,           0.0019629,              0.9834,             0.96683,             0.98154,             0.81097,            0.013574,            0.018764,          0.00095917,           0.0066191,           0.0066191,           0.0066191
                 128,            0.022308,             0.02485,           0.0019331,             0.98299,             0.96736,             0.98157,             0.81138,            0.013548,            0.018732,          0.00095798,           0.0065734,           0.0065734,           0.0065734
                 129,            0.022277,            0.024918,           0.0019332,             0.98354,             0.96701,             0.98166,             0.81164,            0.013521,            0.018698,          0.00095653,           0.0065276,           0.0065276,           0.0065276
                 130,            0.022255,            0.024814,           0.0019388,              0.9837,             0.96708,              0.9817,              0.8121,            0.013497,            0.018663,          0.00095511,           0.0064816,           0.0064816,           0.0064816
                 131,            0.022191,            0.024711,           0.0019417,             0.98373,             0.96732,              0.9817,              0.8125,            0.013471,            0.018629,           0.0009537,           0.0064356,           0.0064356,           0.0064356
